Codice,descrizione,scaffale
226423-6,ingranaggio,N06
226428-6,ingranaggio,P05
226430-9,ingranaggio,S07
226473-1,ingranaggio,U08
226540-2,ingranaggio,G13
226589-2,ingranaggio,Q11
226605-0,ingranaggio x HR4001,E13
226712-9,ingranaggio,P04
226713-7,ingranaggio,P04
226725-0,ingranaggio,Q02
226728-4,ingranaggio x 9524NB,B02
226733-1,ingranaggio x 9524NB,B03
226741-2,ingranaggio,A09
226745-4,ingranaggio,R07
226746-2,ingranaggio,R07
226771-3,ingranaggio,Q01
226772-1,ingranaggio,Q05
226798-3,ingranaggio,E15
226799-1,ingranaggio,E15
227002-3,ingranaggio,V14
227109-5,ingranaggio,R12
227112-6,ingranaggio,V12
227179-4,ingranaggio,R15
227213-0,ingranaggio AN090,V15
227215-6,ingranaggio,I01
227231-8,ingranaggio,H06
227359-2,ingranaggio,I02
227360-7,ingranaggio,Y01
227361-5,ingranaggio,I05
227378-8,ingranaggio,D09
227391-6,ingranaggio,G11
227457-2,ingranaggio,G13
227464-5,ingranaggio,G10
227505-7,ingranaggio,G10
227509-9,ingranaggio x HR4001,F15
227512-0,ingranaggio,R10
227514-6,ingranaggio 38,T12
227542-1,ingranaggio,Q15
227592-6,ingranaggio,K01
227597-8,ingranaggio,K01
227754-6,ingranaggio,K07
231004-3,molla,I08
231025-5,molla,X04
231135-8,molla,S03
231139-0,molla,A09
231216-8,molla,F07
231225-7,molla,L09
231261-3,molla,T04
231278-6,molla,Z02
231317-2,molla,M07
231327-9,molla,L05
231403-9,molla,L08
231408-9,molla x HR2000,M02
231421-7,molla x 6074,B02
231433-0,molla,A01
231434-8,molla,G01
231504-3,molla di torsione,C06
231534-4,molla,M09
231589-9,molla,M04
231660-9,molla,U04
231798-0,molla,S05
231818-0,molla,X04
231841-5,molla,X03
231845-7,molla,Q10
231907-1,anello,K04
231921-7,anello ritegno,D02
231927-5,molla,F05
231951-8,anello,M06
231953-4,anello a molla,A08
231954-2,anello,A07
231955-0,ritegno,V13
231975-4,molla,D03
231987-7,anello elastico,T03
232053-3,molla a piastra,F01
232134-3,molla a piastra,B01
232147-4,molla,R05
232154-7,molla,U03
232159-7,molla a piastra,S07
232162-8,molla a piastra,S06
232180-6,anello,Q02
232182-2,molla a piastra,S04
232192-9,molla,O08
232207-2,molla piatta,I05
232220-0,molla,X02
232222-6,molla piatta,Y09
232239-9,molla,X05
232245-4,molla,K07
232334-5,anello ritegno,D08
233002-3,molla,L11
233005-7,molla,N07
233089-5,molla,R01
233109-5,molla,Y02
233188-3,molla,O09
233193-0,molla,P08
233203-3,molla,R09
233207-5,molla,P15
233208-3,molla,X08
233360-7,molla,H06
233376-2,molla,Q10
233387-7,molla,X06
233430-2,molla,K10
233917-4,anello,V03
233940-9,anello,Y02
233974-2,anello,V13
233979-2,anello ritegno,H07
234147-0,molla,H06
234251-5,molla,K09
234264-6,molla,H05
240067-8,ventola,N12
241654-6,ventola,N08
241658-8,ventola,X07
241659-6,ventola x BO5000,M01
241660-1,puleggia,V05
241663-5,ventola,Y10
241673-2,ventola x BO5030,K10
241881-5,ventola,G11
242042-0,tappo,M01
242502-2,tappo olio,L07
251246-3,vite,C05
251287-9,vite,L02
251322-3,vite,R01
251387-5,vite,M08
251448-1,vite mandrino,G04
251464-3,vite mandrino,D03
251609-3,bullone con bordino,I03
251812-6,volantino x 1923B,C05
251919-8,vite,P09
252043-0,dado x 5012,C05
252046-4,bullone,L05
252134-7,dado M8,K08
252624,leva,V04
252640-2,manopola,O06
252640-8,manopola M8,E06
253052-2,rondella,R01
253186-1,rondella,H06
253215-0,rondella,R15
253314-8,rondella,R01
253338-4,anello,V05
253748-5,rondella,L01
253807-5,rondella,C01
253937-2,rondella,G10
253939-8,rondella,Q09
